mackay_no,plate,n_signs,ends_jar,has_fish,has_arrow,numeral_group,confidence,note
358,LXXXIX,5,likely,no,no,no,medium,U at left; X and grid
359,LXXXIX,6,likely,no,no,no,medium,U at left; ovals and X
360,LXXXIX,4,no,no,no,no,high,"forked stem, A-shape, crescent"
361,LXXXIX,6,no,no,no,no,medium,A-shapes and ovals
362,LXXXIX,4,no,no,no,no,low,worn; curved signs
363,LXXXIX,5,no,no,no,no,medium,X and U signs
364,LXXXIX,4,no,no,no,no,medium,"forked stem, A-shape"
365,LXXXIX,6,no,no,no,no,medium,A-shapes and forked stems
366,LXXXIX,6,no,no,no,yes,medium,"strokes, ovals, crescent"
367,LXXXIX,6,no,no,no,yes,medium,"ovals, strokes, X"
368,LXXXIX,5,no,no,no,yes,medium,ovals and strokes
369,LXXXIX,6,no,no,no,no,high,"grid, U, X, leaf"
371,LXXXIX,5,no,no,no,no,medium,ovals and A-shape
374,LXXXIX,4,no,no,no,no,low,very worn
375,LXXXIX,6,likely,no,no,yes,medium,U at left; strokes and X
376,LXXXIX,3,no,no,no,no,low,cylinder-seal impression; figures
377,LXXXIX,2,no,no,no,no,low,X sign only; worn
489,XCVI,6,likely,no,no,yes,medium,U at left; X and strokes
490,XCVI,6,no,no,no,no,medium,"A-shape, ovals, X"
493,XCVI,4,no,no,no,no,medium,X signs and strokes
494,XCVI,4,no,no,no,no,low,worn; X and strokes
495,XCVI,7,no,no,no,no,medium,ovals and strokes
498,XCVI,6,likely,no,no,no,medium,U at left; X and ovals
499,XCVI,6,likely,no,no,no,high,"U, forked stem, four A-shapes"
500,XCVI,4,no,no,no,no,medium,round seal; oval and leaf
501,XCVI,6,no,no,no,yes,medium,strokes and U signs
502,XCVI,6,no,no,no,no,low,worn; strokes and X
503,XCVI,4,no,no,no,no,low,fragment; ovals
504,XCVI,5,no,no,no,no,medium,"A-shape, strokes, diamond"
505,XCVI,5,no,no,no,yes,low,worn; strokes
506,XCVI,4,likely,no,no,no,high,"U, U, oval, leaf"
507,XCVI,6,no,no,no,yes,medium,"strokes, X, oval"
508,XCVI,5,no,no,no,no,medium,X-in-oval signs and strokes
511,XCVI,6,likely,no,no,yes,medium,U at left; strokes and X
512,XCVI,2,no,no,no,no,low,elephant seal; signs worn
513,XCVI,5,no,no,no,no,medium,X signs and strokes
514,XCVI,6,no,no,no,no,medium,ovals and strokes
515,XCVI,6,no,no,no,yes,low,worn; strokes and U signs
516,XCVI,3,no,no,no,no,low,fragment; angular signs
517,XCVI,5,likely,no,no,no,medium,U signs at left; worn below
518,XCVI,7,no,no,no,no,medium,"A-shapes, circled cross, X"
519,XCVI,6,no,no,no,no,medium,"ovals, diamond, strokes"
522,XCVI,6,no,no,no,no,medium,"A-shapes, X, oval"
523,XCVI,4,no,no,no,no,low,worn; few signs
524,XCVI,6,no,no,no,yes,medium,"A-shape, strokes, X, oval"
525,XCVI,4,no,no,no,yes,low,strokes and forked stem
526,XCVI,5,likely,no,no,no,high,"U, X-in-oval, X signs"
527,XCVI,4,no,no,no,no,low,worn; small signs
528,XCVI,6,no,no,no,yes,high,"forked stem, strokes, ovals, circled cross"
529,XCVI,6,no,no,no,no,medium,X signs and A-shapes
530,XCVI,4,no,no,no,no,medium,circled cross and grid sign
531,XCVI,5,no,no,no,yes,medium,strokes and circled cross
533,XCVI,5,no,no,no,no,medium,"U, X, forked stem, diamond"
534,XCVI,4,likely,no,no,no,medium,U at left; leaf and A-shape
535,XCVI,5,no,no,no,no,medium,X signs and crescent
537,XCVI,7,no,no,no,no,high,"X-in-oval signs, A-shape, ovals, U"
538,XCVII,6,likely,no,no,no,medium,U at left; X and A-shape
539,XCVII,6,no,no,no,no,high,"A-shapes, ovals, diamond"
540,XCVII,5,no,no,no,yes,medium,X and strokes
541,XCVII,7,no,no,no,yes,high,"X, strokes, U, A-shape, circled sign"
542,XCVII,4,no,no,no,yes,low,worn; strokes
544,XCVII,5,likely,no,no,yes,high,U signs and strokes
545,XCVII,6,no,no,no,no,medium,"X signs, A-shape, leaf"
546,XCVII,4,no,no,no,no,medium,ovals and A-shape
547,XCVII,4,no,no,no,yes,medium,X and strokes
548,XCVII,6,no,no,no,no,high,"A-shapes, X, oval, diamond"
549,XCVII,6,no,no,no,no,medium,ovals and X signs
550,XCVII,3,no,no,no,no,low,worn; grid-like signs
551,XCVII,5,no,no,no,no,low,worn; strokes
552,XCVII,6,no,no,no,no,medium,"ovals, A-shape, X"
553,XCVII,6,no,no,no,no,medium,same layout as 552; ovals and X
554,XCVII,2,no,no,no,no,medium,circled cross only; tiger seal
555,XCVII,4,no,no,no,no,low,worn; strokes
556,XCVII,5,no,no,no,no,medium,"U, X, leaf"
557,XCVII,5,likely,no,no,no,medium,U at left; X and strokes
558,XCVII,6,no,no,no,no,medium,A-shapes and U signs
559,XCVII,3,no,no,no,no,low,very worn; oval
560,XCVII,5,likely,no,no,yes,medium,U at left; strokes and grid
561,XCVII,1,no,no,no,no,low,narrow fragment
562,XCVII,4,likely,no,no,no,low,U at left; worn
563,XCVII,7,likely,no,no,yes,medium,U at left; strokes and X
564,XCVII,6,no,no,no,no,medium,U signs and A-shape
565,XCVII,4,no,no,no,yes,low,worn; strokes
567,XCVII,6,no,no,no,no,medium,"A-shape, X, oval"
568,XCVII,5,no,no,no,yes,high,"cross sign, strokes, U, leaf"
569,XCVII,6,no,no,no,no,medium,"ovals, U, diamond"
570,XCVII,4,no,no,no,yes,medium,grid and X
571,XCVII,5,no,no,no,yes,medium,"grid, ovals, leaf"
572,XCVII,6,no,no,no,yes,medium,"strokes, circled cross, leaf"
573,XCVII,6,likely,no,no,yes,medium,U at left; A-shape and strokes
574,XCVII,6,no,no,no,no,medium,A-shapes and ovals
577,XCVII,5,no,no,no,yes,medium,"U, strokes, A-shape"
579,XCVII,5,no,no,no,yes,high,"diamond, circled cross, strokes"
580,XCVII,5,no,no,no,no,medium,"U, X, diamond"
581,XCVII,7,no,no,no,yes,medium,"A-shape, strokes, ovals, X"
583,XCVII,6,no,no,no,yes,medium,"X, strokes, A-shape, leaf"
584,XCVII,7,likely,no,no,yes,medium,U at left; X and strokes
585,XCVII,4,no,no,no,yes,medium,strokes and X
586,XCVII,0,no,no,no,no,high,swastika seal; no inscription
587,XCVII,4,no,no,no,no,low,worn; strokes and crescent
588,XCVII,6,no,no,no,no,medium,"X, strokes, A-shapes"
589,XCVII,5,no,no,yes,no,high,"arrow-like sign, strokes, U, leaf"
590,XCVII,4,no,no,yes,no,high,"arrow-like sign, X, strokes, diamond"
